DateID,StateProvinceID,StateProvinceCode,StateProvinceName,CountryRegionName,ProvinceLat,ProvinceLong,ProductCount,OrderCount,TotalDiscount,CustomerCount,TotalSale
20110701,1,AB ,Alberta,Canada,55.001251,-115.002136,75,4,0.0,4,92126.911
20111001,1,AB ,Alberta,Canada,55.001251,-115.002136,92,4,469.798608,4,111081.906592
20111118,1,AB ,Alberta,Canada,55.001251,-115.002136,1,1,0.0,1,3578.27
20120101,1,AB ,Alberta,Canada,55.001251,-115.002136,65,3,0.0,3,68109.9077
20120330,1,AB ,Alberta,Canada,55.001251,-115.002136,78,4,0.0,4,84921.0483
20120530,1,AB ,Alberta,Canada,55.001251,-115.002136,339,1,175.466859,1,92716.905941
20120605,1,AB ,Alberta,Canada,55.001251,-115.002136,1,1,0.0,1,2181.5625
20120606,1,AB ,Alberta,Canada,55.001251,-115.002136,1,1,0.0,1,2443.35
20120630,1,AB ,Alberta,Canada,55.001251,-115.002136,227,4,25.566445,4,53273.378855
20120731,1,AB ,Alberta,Canada,55.001251,-115.002136,33,1,0.0,1,2779.8855
20120830,1,AB ,Alberta,Canada,55.001251,-115.002136,252,1,84.23447200000001,1,66707.625328
20120930,1,AB ,Alberta,Canada,55.001251,-115.002136,139,4,15.670875000000002,4,49762.526525
20121030,1,AB ,Alberta,Canada,55.001251,-115.002136,16,3,0.0,3,2556.5044
20121130,1,AB ,Alberta,Canada,55.001251,-115.002136,147,1,0.0,1,54444.9062
20121231,1,AB ,Alberta,Canada,55.001251,-115.002136,94,5,0.0,5,47490.2319
20130128,1,AB ,Alberta,Canada,55.001251,-115.002136,2,1,0.0,1,667.8299999999999
20130228,1,AB ,Alberta,Canada,55.001251,-115.002136,248,1,17.579085000000003,1,78405.747815
20130330,1,AB ,Alberta,Canada,55.001251,-115.002136,129,4,47.487500000000004,4,29689.6211
20130430,1,AB ,Alberta,Canada,55.001251,-115.002136,12,2,0.0,2,2185.412
20130530,1,AB ,Alberta,Canada,55.001251,-115.002136,484,1,338.04255,1,98630.27445
20130630,1,AB ,Alberta,Canada,55.001251,-115.002136,348,4,405.035626,4,67292.128174
20130714,1,AB ,Alberta,Canada,55.001251,-115.002136,2,1,0.0,1,71.97
20130731,1,AB ,Alberta,Canada,55.001251,-115.002136,120,3,13.133549000000002,3,7880.743151000001
20130830,1,AB ,Alberta,Canada,55.001251,-115.002136,342,1,58.562716,1,77394.559084
20130916,1,AB ,Alberta,Canada,55.001251,-115.002136,3,1,0.0,1,69.97
20130930,1,AB ,Alberta,Canada,55.001251,-115.002136,195,5,28.870875000000005,5,47569.790625
20131013,1,AB ,Alberta,Canada,55.001251,-115.002136,2,1,0.0,1,1754.98
20131030,1,AB ,Alberta,Canada,55.001251,-115.002136,55,3,4.202825,3,4579.841675000001
20131115,1,AB ,Alberta,Canada,55.001251,-115.002136,6,1,0.0,1,2466.2599999999998
20131130,1,AB ,Alberta,Canada,55.001251,-115.002136,208,1,18.454092,1,51324.194508
20131223,1,AB ,Alberta,Canada,55.001251,-115.002136,4,1,0.0,1,578.46
20131231,1,AB ,Alberta,Canada,55.001251,-115.002136,121,4,0.0,4,50801.231999999996
20140124,1,AB ,Alberta,Canada,55.001251,-115.002136,2,1,0.0,1,2393.06
20140129,1,AB ,Alberta,Canada,55.001251,-115.002136,19,2,0.0,2,1207.5
20140225,1,AB ,Alberta,Canada,55.001251,-115.002136,2,1,0.0,1,124.99
20140301,1,AB ,Alberta,Canada,55.001251,-115.002136,330,1,64.474158,1,82935.679242
20140310,1,AB ,Alberta,Canada,55.001251,-115.002136,1,1,0.0,1,69.99
20140327,1,AB ,Alberta,Canada,55.001251,-115.002136,1,1,0.0,1,2384.07
20140331,1,AB ,Alberta,Canada,55.001251,-115.002136,191,4,759.3891,4,61663.3959
20140501,1,AB ,Alberta,Canada,55.001251,-115.002136,49,3,227.45597600000002,3,7826.730824
20140530,1,AB ,Alberta,Canada,55.001251,-115.002136,4,1,0.0,1,765.32
20120530,3,AL ,Alabama,United States,33.2588817,-86.8295337,2,1,0.0,1,367.8764
20120630,3,AL ,Alabama,United States,33.2588817,-86.8295337,2,2,0.0,2,393.1942
20120830,3,AL ,Alabama,United States,33.2588817,-86.8295337,3,1,0.0,1,1409.382
20120930,3,AL ,Alabama,United States,33.2588817,-86.8295337,2,1,0.0,1,939.588
20121231,3,AL ,Alabama,United States,33.2588817,-86.8295337,9,2,0.0,2,8482.6937
20130228,3,AL ,Alabama,United States,33.2588817,-86.8295337,2,1,0.0,1,2932.02
20130330,3,AL ,Alabama,United States,33.2588817,-86.8295337,2,2,0.0,2,972.4467
20130630,3,AL ,Alabama,United States,33.2588817,-86.8295337,25,1,0.0,1,4180.446
20130731,3,AL ,Alabama,United States,33.2588817,-86.8295337,4,1,0.0,1,2183.64
20130930,3,AL ,Alabama,United States,33.2588817,-86.8295337,11,1,0.0,1,2901.2340000000004
20131014,3,AL ,Alabama,United States,33.2588817,-86.8295337,1,1,0.0,1,2.29
20131030,3,AL ,Alabama,United States,33.2588817,-86.8295337,5,1,0.0,1,5047.614
20131130,3,AL ,Alabama,United States,33.2588817,-86.8295337,1,1,0.0,1,24.294
20131231,3,AL ,Alabama,United States,33.2588817,-86.8295337,6,1,0.0,1,4340.67
20140129,3,AL ,Alabama,United States,33.2588817,-86.8295337,6,1,0.0,1,6478.0560000000005
20140301,3,AL ,Alabama,United States,33.2588817,-86.8295337,1,1,0.0,1,356.898
20140331,3,AL ,Alabama,United States,33.2588817,-86.8295337,1,1,0.0,1,72.894
20140501,3,AL ,Alabama,United States,33.2588817,-86.8295337,5,1,0.0,1,4346.082
20140612,3,AL ,Alabama,United States,33.2588817,-86.8295337,1,1,0.0,1,35.0
20110801,6,AZ ,Arizona,United States,34.395342,-111.763275,14,3,0.0,3,12930.306
